book
book-chapter
book-review
dictionary-entry
dissertation
encyclopedia-entry
edited-book
journal-article
journal-issue
magazine article
manual
online-resource
newsletter-article
newspaper-article
preprint
report
research-tool
supervised-student-publication
test
translation
website
working-paper
conference-abstract
conference-paper
conference-poster
disclosure
license
patent
registered-copyright
trademark
artistic-performance
invention
lecture-speech
research-technique
software
spin-off-company
standards-and-policy
technical-standard
other
